Jurisdiction, Description, Taxable_Sales_and_Purchases, Row_Update_Indicator, QuarterDate
NY STATE,Medical Equipment and Supplies Manufacturing,93003492.00,1201413391,2014-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,86605968.00,1201423391,2014-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,86729202.00,1201433391,2014-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,88085577.00,1201443391,2014-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,98217419.00,1201513391,2015-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,89403306.00,1201523391,2015-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,94323281.00,1201533391,2015-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,95358247.00,1201543391,2015-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,101079294.00,1201613391,2016-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,102419764.00,1201623391,2016-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,103092078.00,1201633391,2016-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,111907528.00,1201643391,2016-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,118029478.00,1201713391,2017-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,107243264.00,1201723391,2017-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,106046552.00,1201733391,2017-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,115918024.00,1201743391,2017-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,124524310.00,1201813391,2018-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,129249685.00,1201823391,2018-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,129334341.00,1201833391,2018-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,150930336.00,1201843391,2018-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,142208301.00,1201913391,2019-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,131257923.00,1201923391,2019-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,134312435.00,1201933391,2019-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,143284086.00,1201943391,2019-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,151473583.00,1202013391,2020-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,140320780.00,1202023391,2020-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,160223883.00,1202033391,2020-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,171230165.00,1202043391,2020-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,98982384.00,1202113391,2021-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,1092889419.00,1202123391,2021-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,171432089.00,1202133391,2021-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,180799397.00,1202143391,2021-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,178751284.00,1202213391,2022-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,175185439.00,1202223391,2022-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,180482984.00,1202233391,2022-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,191486863.00,1202243391,2022-02-01
NY STATE,Medical Equipment and Supplies Manufacturing,195478636.00,1202313391,2023-05-01
NY STATE,Medical Equipment and Supplies Manufacturing,200262650.00,1202323391,2023-08-01
NY STATE,Medical Equipment and Supplies Manufacturing,198471207.00,1202333391,2023-11-01
NY STATE,Medical Equipment and Supplies Manufacturing,213162216.00,1202343391,2023-02-01
MCTD,Medical Equipment and Supplies Manufacturing,68507402.00,2201413391,2014-05-01
MCTD,Medical Equipment and Supplies Manufacturing,63487067.00,2201423391,2014-08-01
MCTD,Medical Equipment and Supplies Manufacturing,64089711.00,2201433391,2014-11-01
MCTD,Medical Equipment and Supplies Manufacturing,64473332.00,2201443391,2014-02-01
MCTD,Medical Equipment and Supplies Manufacturing,72372923.00,2201513391,2015-05-01
MCTD,Medical Equipment and Supplies Manufacturing,65732294.00,2201523391,2015-08-01
MCTD,Medical Equipment and Supplies Manufacturing,69821574.00,2201533391,2015-11-01
MCTD,Medical Equipment and Supplies Manufacturing,69018497.00,2201543391,2015-02-01
MCTD,Medical Equipment and Supplies Manufacturing,69592132.00,2201613391,2016-05-01
MCTD,Medical Equipment and Supplies Manufacturing,72210546.00,2201623391,2016-08-01
MCTD,Medical Equipment and Supplies Manufacturing,72992998.00,2201633391,2016-11-01
MCTD,Medical Equipment and Supplies Manufacturing,80898780.00,2201643391,2016-02-01
MCTD,Medical Equipment and Supplies Manufacturing,84229426.00,2201713391,2017-05-01
MCTD,Medical Equipment and Supplies Manufacturing,78531912.00,2201723391,2017-08-01
MCTD,Medical Equipment and Supplies Manufacturing,77587033.00,2201733391,2017-11-01
MCTD,Medical Equipment and Supplies Manufacturing,84373226.00,2201743391,2017-02-01
MCTD,Medical Equipment and Supplies Manufacturing,89768479.00,2201813391,2018-05-01
MCTD,Medical Equipment and Supplies Manufacturing,91721185.00,2201823391,2018-08-01
MCTD,Medical Equipment and Supplies Manufacturing,94362509.00,2201833391,2018-11-01
MCTD,Medical Equipment and Supplies Manufacturing,113512239.00,2201843391,2018-02-01
MCTD,Medical Equipment and Supplies Manufacturing,101578955.00,2201913391,2019-05-01
MCTD,Medical Equipment and Supplies Manufacturing,91839741.00,2201923391,2019-08-01
MCTD,Medical Equipment and Supplies Manufacturing,99770015.00,2201933391,2019-11-01
MCTD,Medical Equipment and Supplies Manufacturing,103045606.00,2201943391,2019-02-01
MCTD,Medical Equipment and Supplies Manufacturing,110622940.00,2202013391,2020-05-01
MCTD,Medical Equipment and Supplies Manufacturing,101327201.00,2202023391,2020-08-01
MCTD,Medical Equipment and Supplies Manufacturing,120365699.00,2202033391,2020-11-01
MCTD,Medical Equipment and Supplies Manufacturing,124675979.00,2202043391,2020-02-01
MCTD,Medical Equipment and Supplies Manufacturing,72847376.00,2202113391,2021-05-01
MCTD,Medical Equipment and Supplies Manufacturing,1052831224.00,2202123391,2021-08-01
MCTD,Medical Equipment and Supplies Manufacturing,126920191.00,2202133391,2021-11-01
MCTD,Medical Equipment and Supplies Manufacturing,136805179.00,2202143391,2021-02-01
MCTD,Medical Equipment and Supplies Manufacturing,132700855.00,2202213391,2022-05-01
MCTD,Medical Equipment and Supplies Manufacturing,128597232.00,2202223391,2022-08-01
MCTD,Medical Equipment and Supplies Manufacturing,134360796.00,2202233391,2022-11-01
MCTD,Medical Equipment and Supplies Manufacturing,144446375.00,2202243391,2022-02-01
MCTD,Medical Equipment and Supplies Manufacturing,150679657.00,2202313391,2023-05-01
MCTD,Medical Equipment and Supplies Manufacturing,152853121.00,2202323391,2023-08-01
MCTD,Medical Equipment and Supplies Manufacturing,145695830.00,2202333391,2023-11-01
MCTD,Medical Equipment and Supplies Manufacturing,162199541.00,2202343391,2023-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,2138166.00,3201413391,2014-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,1696027.00,3201423391,2014-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,2375097.00,3201433391,2014-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,2263832.00,3201443391,2014-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,3484860.00,3201513391,2015-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,2022482.00,3201523391,2015-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,1873696.00,3201533391,2015-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,2078945.00,3201543391,2015-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,2930013.00,3201613391,2016-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,2603358.00,3201623391,2016-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,2634892.00,3201633391,2016-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,3026115.00,3201643391,2016-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,4271149.00,3201713391,2017-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,2764592.00,3201723391,2017-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,2761071.00,3201733391,2017-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,2859786.00,3201743391,2017-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,3138948.00,3201813391,2018-05-01
