Jurisdiction, Description, Taxable_Sales_and_Purchases, Row_Update_Indicator, QuarterDate
NY STATE,Pharmaceutical and Medicine Manufacturing,69632236.00,1201413254,2014-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,54943991.00,1201423254,2014-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,53184813.00,1201433254,2014-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,46697926.00,1201443254,2014-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,51576879.00,1201513254,2015-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,45050319.00,1201523254,2015-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,51428922.00,1201533254,2015-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,59194314.00,1201543254,2015-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,61402802.00,1201613254,2016-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,60578125.00,1201623254,2016-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,46048180.00,1201633254,2016-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,42491504.00,1201643254,2016-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,59981446.00,1201713254,2017-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,62050226.00,1201723254,2017-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,63871594.00,1201733254,2017-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,65077005.00,1201743254,2017-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,80591329.00,1201813254,2018-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,75655643.00,1201823254,2018-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,55582128.00,1201833254,2018-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,76540964.00,1201843254,2018-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,77630872.00,1201913254,2019-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,73684631.00,1201923254,2019-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,69914608.00,1201933254,2019-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,67515451.00,1201943254,2019-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,57881278.00,1202013254,2020-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,66729878.00,1202023254,2020-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,61046425.00,1202033254,2020-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,81721317.00,1202043254,2020-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,64773201.00,1202113254,2021-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,67551979.00,1202123254,2021-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,152573559.00,1202133254,2021-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,101514454.00,1202143254,2021-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,72011055.00,1202213254,2022-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,68307767.00,1202223254,2022-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,74136976.00,1202233254,2022-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,83192324.00,1202243254,2022-02-01
NY STATE,Pharmaceutical and Medicine Manufacturing,75197401.00,1202313254,2023-05-01
NY STATE,Pharmaceutical and Medicine Manufacturing,71162304.00,1202323254,2023-08-01
NY STATE,Pharmaceutical and Medicine Manufacturing,83118615.00,1202333254,2023-11-01
NY STATE,Pharmaceutical and Medicine Manufacturing,94906240.00,1202343254,2023-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,59078786.00,2201413254,2014-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,45198292.00,2201423254,2014-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,43948541.00,2201433254,2014-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,38017996.00,2201443254,2014-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,40754551.00,2201513254,2015-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,34438573.00,2201523254,2015-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,40777087.00,2201533254,2015-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,48294237.00,2201543254,2015-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,45348101.00,2201613254,2016-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,41491571.00,2201623254,2016-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,28509371.00,2201633254,2016-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,28357048.00,2201643254,2016-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,40546370.00,2201713254,2017-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,40563635.00,2201723254,2017-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,41516530.00,2201733254,2017-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,46675042.00,2201743254,2017-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,60161730.00,2201813254,2018-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,57826337.00,2201823254,2018-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,37722086.00,2201833254,2018-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,60418618.00,2201843254,2018-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,55434093.00,2201913254,2019-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,54224150.00,2201923254,2019-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,52298380.00,2201933254,2019-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,53404529.00,2201943254,2019-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,43213526.00,2202013254,2020-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,52132767.00,2202023254,2020-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,44482529.00,2202033254,2020-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,63375914.00,2202043254,2020-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,42152508.00,2202113254,2021-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,49390878.00,2202123254,2021-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,136700014.00,2202133254,2021-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,87181475.00,2202143254,2021-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,55793077.00,2202213254,2022-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,52979020.00,2202223254,2022-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,57109273.00,2202233254,2022-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,66001133.00,2202243254,2022-02-01
MCTD,Pharmaceutical and Medicine Manufacturing,59396301.00,2202313254,2023-05-01
MCTD,Pharmaceutical and Medicine Manufacturing,52580477.00,2202323254,2023-08-01
MCTD,Pharmaceutical and Medicine Manufacturing,64667331.00,2202333254,2023-11-01
MCTD,Pharmaceutical and Medicine Manufacturing,72620338.00,2202343254,2023-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,162442.00,3201413254,2014-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,132303.00,3201423254,2014-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,122205.00,3201433254,2014-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,193249.00,3201443254,2014-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,411029.00,3201513254,2015-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,301592.00,3201523254,2015-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,355664.00,3201533254,2015-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,403018.00,3201543254,2015-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,644387.00,3201613254,2016-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,722229.00,3201623254,2016-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,491013.00,3201633254,2016-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,523135.00,3201643254,2016-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,751877.00,3201713254,2017-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,686494.00,3201723254,2017-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,663320.00,3201733254,2017-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,580616.00,3201743254,2017-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,787880.00,3201813254,2018-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,765709.00,3201823254,2018-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,678231.00,3201833254,2018-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,698845.00,3201843254,2018-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,926472.00,3201913254,2019-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,893538.00,3201923254,2019-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,1240076.00,3201933254,2019-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,882426.00,3201943254,2019-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,1514043.00,3202013254,2020-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,556002.00,3202023254,2020-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,539917.00,3202033254,2020-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,714267.00,3202043254,2020-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,1318441.00,3202113254,2021-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,1191289.00,3202123254,2021-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,741842.00,3202133254,2021-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,568646.00,3202143254,2021-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,863224.00,3202213254,2022-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,582821.00,3202223254,2022-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,707742.00,3202233254,2022-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,561883.00,3202243254,2022-02-01
ALBANY,Pharmaceutical and Medicine Manufacturing,544286.00,3202313254,2023-05-01
ALBANY,Pharmaceutical and Medicine Manufacturing,841242.00,3202323254,2023-08-01
ALBANY,Pharmaceutical and Medicine Manufacturing,1038995.00,3202333254,2023-11-01
ALBANY,Pharmaceutical and Medicine Manufacturing,701323.00,3202343254,2023-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,44897.00,4201413254,2014-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,51034.00,4201423254,2014-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,31926.00,4201433254,2014-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,25564.00,4201443254,2014-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,46417.00,4201513254,2015-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,31391.00,4201523254,2015-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,38974.00,4201533254,2015-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,24091.00,4201543254,2015-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,55543.00,4201613254,2016-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,75138.00,4201623254,2016-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,71238.00,4201633254,2016-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,41029.00,4201643254,2016-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,61004.00,4201713254,2017-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,51080.00,4201723254,2017-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,63442.00,4201733254,2017-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,39835.00,4201743254,2017-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,56474.00,4201813254,2018-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,53448.00,4201823254,2018-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,50278.00,4201833254,2018-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,28539.00,4201843254,2018-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,136142.00,4201913254,2019-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,60385.00,4201923254,2019-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,37644.00,4201933254,2019-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,26395.00,4201943254,2019-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,34189.00,4202013254,2020-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,47063.00,4202023254,2020-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,35795.00,4202033254,2020-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,24943.00,4202043254,2020-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,55433.00,4202113254,2021-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,45204.00,4202123254,2021-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,29868.00,4202133254,2021-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,23978.00,4202143254,2021-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,26490.00,4202213254,2022-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,27623.00,4202223254,2022-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,22404.00,4202233254,2022-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,21289.00,4202243254,2022-02-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,20052.00,4202313254,2023-05-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,25390.00,4202323254,2023-08-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,32290.00,4202333254,2023-11-01
ALLEGANY,Pharmaceutical and Medicine Manufacturing,24542.00,4202343254,2023-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,91804.00,5201413254,2014-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,73910.00,5201423254,2014-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,68334.00,5201433254,2014-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,50194.00,5201443254,2014-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,81709.00,5201513254,2015-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,55767.00,5201523254,2015-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,98691.00,5201533254,2015-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,105349.00,5201543254,2015-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,455177.00,5201613254,2016-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,492613.00,5201623254,2016-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,487530.00,5201633254,2016-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,184658.00,5201643254,2016-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,249226.00,5201713254,2017-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,451067.00,5201723254,2017-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,473261.00,5201733254,2017-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,158731.00,5201743254,2017-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,259924.00,5201813254,2018-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,252418.00,5201823254,2018-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,268052.00,5201833254,2018-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,192747.00,5201843254,2018-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,946623.00,5201913254,2019-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,253393.00,5201923254,2019-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,294614.00,5201933254,2019-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,226686.00,5201943254,2019-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,152546.00,5202013254,2020-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,134711.00,5202023254,2020-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,147995.00,5202033254,2020-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,160998.00,5202043254,2020-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,181855.00,5202113254,2021-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,245063.00,5202123254,2021-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,211338.00,5202133254,2021-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,138729.00,5202143254,2021-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,237351.00,5202213254,2022-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,195426.00,5202223254,2022-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,217359.00,5202233254,2022-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,162006.00,5202243254,2022-02-01
BROOME,Pharmaceutical and Medicine Manufacturing,166693.00,5202313254,2023-05-01
BROOME,Pharmaceutical and Medicine Manufacturing,173864.00,5202323254,2023-08-01
BROOME,Pharmaceutical and Medicine Manufacturing,223509.00,5202333254,2023-11-01
BROOME,Pharmaceutical and Medicine Manufacturing,175955.00,5202343254,2023-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,134424.00,6201413254,2014-05-01
